PRODUCT_TITLE,STYLE#,AVAILABLE_SIZES,CATEGORY_NAME,COLOR_NAME,SIZE,CASE_PRICE
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,White,S,3.12
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,White,M,3.12
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,White,L,3.12
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,White,XL,3.12
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,White,3XL,6.36
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,White,2XL,4.91
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Ash,S,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Ash,M,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Ash,L,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Ash,XL,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Ash,3XL,7.22
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Ash,2XL,5.41
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Black,S,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Black,M,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Black,L,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Black,XL,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,California Blue,S,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,California Blue,M,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,California Blue,L,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,California Blue,XL,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Forest Green,S,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Forest Green,M,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Forest Green,L,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Forest Green,XL,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Jade,S,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Jade,M,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Jade,L,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,Jade,XL,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,True Red,S,3.46
Jerzees -  Dri-Power 50/50 Cotton/Poly T-Shirt.  29M,29M,Adult Sizes: S-5XL,T-Shirts ,True Red,M,3.46
